profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
29,Northwestern University,"Doctor of Philosophy - PhD, Computer Science",1900,1900
30,Purdue University,"Master of Science (MS), MIS & Statistics",1900,1900
30,University of Delaware,"Post-grad Coursework, Computer Science",1900,1900
30,Georgetown University,"Bachelor of Science (BS), Double Major: MIS, Computer Science Double Minor: Government, International Business",1900,1900
31,DePaul University College of Law,"JD, Certificate in Intellectual Property Law",2003,2006
31,DePaul University,"MS, Computer Science (Data Analytics, Algorithms, Bioinformatics)",2004,2006
31,The Ohio State University,"BA, Psychology, Political Science",1999,2003
32,"Indian Institute of Technology, Delhi",Bachelor of Technology,1900,1900
32,University of Illinois Chicago,"Master of Science - MS, Chemical Engineering",1900,1900
32,University of Illinois Chicago,"Master of Science - MS, Computer Science",1900,1900
33,"University of California, Berkeley","Doctor of Philosophy (Ph.D.), Mechanical Engineering",1900,1900
33,"Indian Institute of Technology, Madras",Mechanical Engineering,1900,1900
34,New Jersey Institute of Technology,"BS, Computer Science",1980,1985
36,Texas A&M University,,1979,1981
37,College of Southern Nevada,"Computer Science, Computer Science",2007,2009
37,MITx Courses,"MicroMasters, Logistics, Materials, and Supply Chain Management",2018,2022
37,Bonanza High School,,2001,2005
38,Carnegie Mellon University,"Ph.D., Computer Engineering",1990,1994
38,Carnegie Mellon University,"Bachelor's degree, Computer Engineering",1985,1989
38,Rensselaer Polytechnic Institute,"Master's degree, Computer and Systems Engineering",1989,1990
39,University of Rajasthan,"Bachelor of Science (B.Sc.), Science",1992,1995
39,Wharton Online,"Leadership in the 21st Century, Organizational Leadership",1900,1900
39,Savitribai Phule Pune University,"Master of Computer Applications (MCA), Computer Science",1995,1997
40,Dickinson College,"BS, Computer Science and Mathematics",1900,1900
40,University of Minnesota,"MS, Computer Science",1900,1900
41,The Wharton School,"MBA, Entrepreneurship",2010,2012
41,The Wharton School,,2010,2012
41,"Indian Institute of Technology (Banaras Hindu University), Varanasi",Bachelor of Technology,1992,1996
42,Bharathidasan University,"BE, Computer Science Engineering",1987,1991
42,University of Phoenix,"Master of Business Administration (MBA), Technology management",1997,1999
43,Centre for Development of Advanced Computing (C-DAC),"Postgraduate Degree, Computer Science; Computer Science",2005,2005
43,Dr. A.P.J. Abdul Kalam Technical University,Bachelor of Technology (BTech),2000,2004
44,School # 30,,1979,1989
44,Pace University,"BBA, Management Information Systems",1992,1994
44,New York University - Polytechnic School of Engineering,"MS, Information Systems Engineering",1996,1998
45,San Diego State University,"MBA, Management - International",1900,1900
45,San Diego State University,"BS, Information Technologies - Minor: Computer Science",1900,1900
46,Acharya Nagarjuna University,"Bachelor of Technology - BTech, Mechanical Engineering",1900,1900
47,Georgetown University,"Master's degree, Security Studies - Technology & Security",2018,2020
47,NATO SCHOOL OBERAMMERGAU,"Certification, CBRN Defense Orientation Course, International Law of Cyber Operations Seminar",2013,2013
47,Harvard University,"Bachelor's degree, Political Science and Government",2010,2015
48,BIT Mesra Student-Industry Relations Cell,Bachelor of Engineering - BTech,1900,1900
49,"Indian Institute of Management, Lucknow","PGDM for Working Executives, Finance & Marketing",2005,2008
49,Aligarh Muslim University,"B.Tech, Electronics",1997,2001
50,"University of California, Los Angeles",B.A. Design,1991,1995
51,Indian Institute of Science (IISc),"MTech - Systems Design, Electronics",2006,2008
51,Sainik School Bijapur,"CBSE XII, Science",1995,2002
51,National Institute of Technology Surat,"BE, Electronics",2002,2006
52,The University of Texas at Dallas,"BS, Physics",1900,1900
52,The University of Texas at Dallas,"BS, Mathematics",1900,1900
53,Rice University,"Phd, Computer Science",1995,2000
53,Rice University,"MS, Computer Science",1995,1997
53,"Indian Institute of Technology, Delhi","B.Tech., Computer Science and Engineering",1991,1995
54,PSG College of Technology,"B.E.,, Computer Science",1993,1997
54,"Birla Institute of Technology and Science, Pilani","M.S, Computer Science",1999,1999
54,Harvard Business School Executive Education,"Leading Transformative Change, Business Administration and Management, General",2017,2017
57,Università degli Studi di Firenze,"Economia e Commercio, Artificial Intelligence",1992,1997
57,Università degli Studi di Firenze,"Laurea, Economics",1989,1997
58,Stanford University,"M.S., Statistics",1900,1900
58,Stanford University,"PhD, Statistics & Psychological Studies (Focus: Machine Learning)",1900,1900
58,University of Nebraska-Lincoln,"MA, Quantitative and Qualitative Methods",1900,1900
59,The Ohio State University,"Doctor of Philosophy (PhD), Genetics algorithm, modeling, super computing",1986,1990
60,Startup Leadership Program,"Fellow, Entrepreneurship",2010,2011
60,Motilal Nehru National Institute Of Technology,"B.Tech, Civil Engg.",2002,2006
60,Boys High School and College,,1989,2000
61,Leeds Beckett University,Computer Science,1900,1900
62,University of Illinois System,"Doctor of Philosophy (Ph.D.), Computer Science, Artificial Intelligence, Software Engineering, Software Architecture",2010,2014
62,Northwestern University - Kellogg School of Management,"Executive Scholar Program, ""General Management"",""Technology & Operations"",""Financial Management"",""Marketing & Sales Management""",2004,2010
62,Northwestern University,"Master of Engineering Management (MEM), Engineering Management, Operations Management",2004,2007
63,Cardiff University / Prifysgol Caerdydd,"Bachelor of Science (BSc), Economics",2002,2005
63,Cardiff University / Prifysgol Caerdydd,"MBA, Masters in Business Administration",2006,2008
64,n.k. public school,,2001,2005
65,Vanderbilt University - Owen Graduate School of Management,"Mangement Leadership Program , Organizational Leadership",2019,2019
65,Bangalore University,"Bachelor of Engineering - BE, Computer Science Engineering",1991,1995
66,Harvard Business School,,1900,1900
66,Cabrillo College,Electronics,1981,1983
67,Cleveland State University,Management Information Systems and Services,1900,1900
67,The Ohio State University,Electrical and Electronics Engineering,1900,1900
68,Athens,,1989,1992
68,University of North Carolina Wilmington,"BS, Business Systems",1992,1996
69,Centre College,"BS, Computer Science",2003,2007
70,St. John's University,"BS, Computer Science",1986,1990
71,North Carolina State University,"Bachelor's Degree, Computer Engineering",1998,2002
72,University of Central Oklahoma,"Bachelor of Science (B.S.), Computer Science",1900,1900
73,Columbia Engineering,"M.S., Computer Science",2006,2007
73,Sardar Patel Vidyalaya,,1993,1999
73,Savitribai Phule Pune University,"B.E., Computer Engineering",1999,2003
74,Rensselaer Business School- The Lally School of Management and Technology,Master of Business Administration,1900,1900
74,Madurai Kamaraj University,"Bachelor’s Degree, Engineering, Computer Science",1900,1900
75,NYU Stern School of Business,"MBA, Information Technology",1988,1992
75,Fox School of Business at Temple University,"BBA, Economics",1981,1983
75,Stanford University,"Director's Consortium, Executive Education for Public Board Members",2016,2016
76,"University of California, Los Angeles","Bachelor of Arts, Economics with Honors: Alumni Scholar, Chancellor's Marshall",1900,1900
77,Pakistan Navy Engineering College,"B.S, Electrical Engineering",1900,1900
77,Oklahoma State University,"M.S., M.B.A, Electrical and Computer Engineeirng",1900,1900
78,Massachusetts Institute of Technology,"MIT ENTREPRENEURSHIP ONLINE BOOTCAMP, Entrepreneurship/Entrepreneurial Studies",2018,2018
78,OUBC,,1900,1900
78,St Thomas Residential School,,1990,1995
79,Miami University,"B.S., Systems Analysis",1982,1986
80,Tsinghua University,"B.S., Electrical Engineering",1900,1900
80,Princeton University,"Ph.D., Electrical Engineering",1900,1900
81,Rice University,"PhD, Computer Science",1987,1992
83,Carnegie Mellon University,"MS, Software Engineering",1993,1994
83,University of Buenos Aires,Licenciado en Analisis de Sistemas,1985,1989
84,University of New Orleans,"BS, MS, Computer Science",1900,1900
85,The Ohio State University,"M.S., Computer Science",1992,1993
85,University of Illinois Urbana-Champaign,Computer Science,1993,1994
85,"Birla Institute of Technology and Science, Pilani","B.E. (Hons.), Computer Science",1988,1992
86,Harvard Business School Executive Education,"Executive Program, Entrepreneurship/Entrepreneurial Studies",2002,2003
86,GE Crotonville,"BMC , International Business",2014,2014
86,MIT Sloan School of Management,Computer Science and Artificial Intelligence Laboratory and Leading Sustainable Systems,2016,2019
87,University of Pittsburgh,"BS in CS, majored in Computer Science ; minors in Math and Studio Arts",1983,1987
88,Seattle University,"Master's Degree, Computer Software Engineering",1989,1992
88,Western Washington University,"Bachelor's Degree, Business Administration and Management, General",1980,1986
89,University of Otago,"Non-Matriculating Student, Computer Science and Mathmatics",1988,1988
89,University of Puget Sound,"BS, Computer Science, Math",1983,1987
91,Cameron University,"Bachelor of Science, Computer Science",1991,1996
91,University of Iowa,MBA,1996,1997
92,University of Pittsburgh,"Bachelor of Science, Information Science, Information Systems",1900,1900
92,University of Phoenix,Master of Business Administration (MBA),1900,1900
92,Carnegie Mellon University,Master of Science in Information Technology (MSIT),1900,1900
93,"University of Tennessee, Knoxville","BS, Bachelor of Science, Management and Information Systems",1986,1990
94,Muthiah Polytechnic,"Diploma, Electrical and Electronics",1992,1995
94,Thiagarajar College of Engineering,"Bachelor of Engineering (B.E.), Electronics and Communications Engineering",1995,1998
95,University of Massachusetts Amherst,"BS, Computer Science, Computer Systems Engineering, Mathematics",1900,1900
95,Columbia University,"MS, Computer Science",1900,1900
95,Northwestern University - Kellogg School of Management,"Value Proposition Certification, Marketing",1900,1900
96,Iowa State University - Ivy College of Business,"Bachelor's degree, Management Information Systems, General",1992,1996
97,North Carolina State University,"MS, Computer Science",1998,2000
97,Florida Atlantic University,"BS, Mathematics",1995,1997
98,National Talent Scholarship holder,,1996,2007
98,Rice University,"PhD, Computer Science",2002,2007
98,"Indian Institute of Technology, Kharagpur","B. Tech, Computer Science and Engineering",1998,2002
99,"Indian Institute of Technology, Bombay",Bachelor of Technology - BTech,1900,1900
99,"Indian Institute of Technology, Bombay","BTech, MEchanical Engg",1992,1996
99,"Indian Institute of Management, Calcutta","MBA, Computer Information Systems, Finance",1996,1998
100,Massachusetts Institute of Technology,"Bachelor of Science (B.S.), Mathematics and Computer Science",1991,1995
100,Duke University - The Fuqua School of Business,"MBA, Business Administration and Management, General",1999,2001
101,National University of Sciences and Technology (NUST),"MS, Software Engineering",1997,1999
101,Landmark,"Landmark Forum, Self-Awareness and Personal Assessment",2017,2017
101,Goodman School of Business at Brock University,"Executive Leadership Certificate, Coaching and Employee Involvement Strategies",2009,2009
102,UC Santa Barbara,,1992,1996
102,San Jose High School,,1900,1900
104,Drexel University,"BS, Electrical Engineering",1900,1900
105,University of Mumbai,"Bachelor's degree, Economics",1994,1997
105,DePaul University,"Master of Science - MS, Management Information Systems, General",2002,2007
106,University of Illinois Urbana-Champaign,"Ph.D. and M.S., Electrical and Computer Engineering",1981,1984
106,"Indian Institute of Technology, Kharagpur","B.Tech, Electronics Engineering",1976,1981
106,Don Bosco High School,"Indian School Certificate, Science",1966,1975
107,University of Haifa Israel,,1900,1900
108,University of Pittsburgh,"B.S., Psychology",1900,1900
108,University of Pittsburgh Katz Graduate School of Business,M.B.A.,1900,1900
108,St Fidelis,,1900,1900
109,University of Southern California,"Business Administration, Entreprenuer Program and Information Systems",1996,1996
109,Harvard Law School,"Program on Negotiation and Leadership, Negotiation, Mediation and Leadership",2010,2010
110,"DeVry Institute of Technology, Chicago","Electrical, Electronics and Communications Engineering",1984,1987
111,Drury University,"Bachelor of Arts, Business Administration, Computer Science",1996,2000
112,The University of Queensland,"Doctor of Philosophy (PhD), Agriculture, Genetics, Analytics",1900,1900
112,The University of Queensland,"Bachelor's degree, Agricultural and Horticultural Plant Breeding",1900,1900
113,University of Houston,Mathematics and Computer Science,1900,1900
114,Symbiosis Institute of Management Studies,Post Graduate Diploma: Business Administration and Finance,2005,2006
114,Carnegie Mellon University,Professional Certificate : Relationship Management,2008,2008
114,University of Pennsylvania,"Fintech: Foundations & Applications of Financial Technology, Cryptocurrency, Blockchain, Crowdfunding, Modern Investing, AI, Real Estate Technology",2021,2021
116,Virginia Tech,"Bachelor of Science (B.S.), Industrial & Systems Engineering + Business Minor",1998,2001
116,University of Washington - Michael G. Foster School of Business,"Master of Business Administration - MBA, Business Administration and Management, General",2015,2017
117,The University of Huddersfield,"Master of Science, Computer Science",1900,1900
117,Washington University in St. Louis,Master of Business Administration (M.B.A.),1900,1900
118,Berklee College of Music,Music production and Technology,2011,2012
118,Massachusetts Institute of Technology,Mathematics,2005,2011
118,Harvard University,Computer Science,2012,2014
