profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree,profile_category,degree_bachelor,degree_master,degree_doctorate,degree_mba,education_degree_all,major_type
DataScience_8,International Institute of Information Technology Bangalore,"executive pg program in machine learning & artificial intelligence, ml and ai",2020,2021,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_9,University of Nevada-Las Vegas,"post-doctoral, artificial intelligence",2015,2016,DataScience,,,,,None#None#None#None,Other
DataScience_9,Université Badji Mokhtar de Annaba,"doctor of philosophy (phd), artificial intelligence and computer vision",2010,2014,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_9,Université Badji Mokhtar de Annaba,"master by research, artificial intelligence and pattern recognition",2008,2010,DataScience,,master,,,None#master#None#None,Other
DataScience_10,Indian Statistical Institute,"master of science - ms, applied statistics and data analysis",2007,2009,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_10,St. Xavier's College,"b.sc, statistics",2004,2007,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_11,National Institute of Technology Karnataka Surathkal,"b. tech, computer science",2005,2009,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_11,National Institute of Technology Karnataka,"b tech, computer science",2005,2009,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_11,University of Waterloo,"mmath, computer science",2009,2011,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_12,The George Washington University,"master's degree, computer engineering",2010,2013,DataScience,,master,,,None#master#None#None,Engineering
DataScience_12,The George Washington University,"doctor of philosophy (phd), computer engineering",2014,2021,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_12,Shahid Beheshti University,"bachelor's degree, electrical and electronics engineering",2004,2010,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_13,University of Pittsburgh,"phd, artificial intelligence, learning sciences",2008,2011,DataScience,,,phd,,None#None#None#phd,Other
DataScience_13,Carnegie Mellon University,"post-doctoral fellowship, human computer interaction",2011,2013,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_13,University of Pittsburgh,"ms, artificial intelligence, learning sciences",1999,2007,DataScience,,master,,,None#master#None#None,Other
DataScience_14,Azad University (IAU),"bachelor's degree, industrial engineering",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_14,Iran University of Science and Technology,"master's degree, industrial engineering",1900,1900,DataScience,,master,,,None#master#None#None,Engineering
DataScience_14,Binghamton University,"doctor of philosophy - phd, industrial and systems engineering",1900,1900,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_15,Università degli Studi di Milano,"bs, physics",2000,2006,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_15,Università degli Studi dell'Insubria,"phd, astronomy and astrophysics",2006,2009,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_16,"Indian Institute of Technology, Kanpur","master of technology - mtech, computer science",2014,2016,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_16,Panjab University,"bachelor of technology - btech, computer science",2010,2014,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_16,Delhi Public School - Bathinda,high school,1900,1900,DataScience,,,,,None#None#None#None,Other
DataScience_17,"Galvanize - Denver, Platte","data science immersive, data science immersive",2017,2017,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_17,Colorado State University,"doctor of philosophy (ph.d.), biochemistry and molecular biology",2008,2012,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_17,University of Arkansas,"bachelor’s degree, chemistry and biochemistry",2003,2007,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_18,Georgia Institute of Technology,"master of science - ms, electrical and computer engineering",1999,2001,DataScience,,master,,,None#master#None#None,Engineering
DataScience_18,Georgia Institute of Technology,"doctor of philosophy - phd, electrical and computer engineering",2001,2006,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_18,University of Central Florida,"bachelor of science (b.s.), computer engineering",1994,1998,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_19,SSN College of Engineering,"bachelor of engineering (be), electrical and electronics engineering",2006,2010,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_19,Carnegie Mellon University - Heinz College of Information Systems and Public Policy,"master of information systems management, business intelligence and data analytics",2014,2015,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_19,Harrisburg University of Science and Technology,"masters in analytics, machine learning",2019,2019,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_20,Georgia Institute of Technology,"master of science - ms, computer science",2023,2023,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_20,UC Irvine,"bachelor of science - bs, civil engineering",2013,2013,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_20,Peking University,university of california education abroad program,2011,2011,DataScience,,,,,None#None#None#None,Other
DataScience_21,University of Reading,"phd., atmosphere, oceans and climate, tropical cyclones and climate change",2010,2014,DataScience,,,phd,,None#None#None#phd,Other
DataScience_21,University of Southampton,"mocean, oceanography",2006,2010,DataScience,,,,,None#None#None#None,Other
DataScience_22,SVN College Madurai,"bachelor of science (b.sc.), mathematics",1999,2002,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_22,"Sirumalar Girls Hr. Sec. School, Madurai",,1992,1999,DataScience,,,,,None#None#None#None,Other
DataScience_22,Thiagarajar College of Engineering,master of computer applications (mca),2002,2005,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_23,Goa Institute of Management,"master of business administration (m.b.a.), finance, general",1900,1900,DataScience,,master,,mba,None#master#mba#None,Business / Economics
DataScience_23,"Birla Institute of Technology and Science, Pilani","m.tech, chemical engineering",1900,1900,DataScience,,,,,None#None#None#None,Engineering
DataScience_23,Malaviya National Institute of Technology Jaipur,"bachelor of technology (btech), chemical engineering",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_24,Purdue University,"doctor of philosophy (phd), aerospace, aeronautical and astronautical engineering",2012,2015,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_24,Wright State University,"master of science (m.s.), mechanical engineering",2011,2012,DataScience,,master,,,None#master#None#None,Engineering
DataScience_25,University of Florida,"doctor of philosophy - phd, mechanical and aerospace engg",2002,2005,DataScience,,,phd,,None#None#None#phd,Other
DataScience_25,University of Florida,"m.s, aerospace engg",1999,2002,DataScience,,master,,,None#master#None#None,Other
DataScience_25,"Indian Institute of Technology, Madras","btech, aerospace engg",1995,1999,DataScience,bachelor,,,,bachelor#None#None#None,Other
DataScience_26,Malaviya National Institute of Technology Jaipur,"b.tech, chemical engineering",2006,2010,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_26,National Chemical Laboratory Pune,"master of technology (m.tech.), chemical engineering: modeling and simulation",2011,2013,DataScience,,master,,,None#master#None#None,Engineering
DataScience_27,MIT Professional Education,leadership & innovation,2020,2020,DataScience,,,,,None#None#None#None,Other
DataScience_27,University of North Carolina at Charlotte,"master's degree, data science and business analytics",2016,2017,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_27,University of North Carolina at Charlotte,"doctor of philosophy - phd, computing and information systems",2018,2022,DataScience,,,phd,,None#None#None#phd,Other
DataScience_28,Southeast University,"ms, physics",2001,2004,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_28,University of Missouri-Columbia,"phd, physics",2004,2010,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_28,University of Missouri-Columbia,"ma, statistics",2007,2010,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_29,US Army,"certified ammo 67, logistics and transportation",2003,2009,DataScience,,,,,None#None#None#None,Other
DataScience_29,University of Colorado Denver,"master's degree, economics",2013,2016,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_29,Western Michigan University,"bachelor's, economics, anthropology",2010,2012,DataScience,bachelor,,,,bachelor#None#None#None,Business / Economics
DataScience_30,Missouri University of Science and Technology,"masters degree, computer science",2014,2015,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_30,Osmania University,"bachelor of engineering (b.e.), computer science",2010,2014,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_30,Narayana Junior College,mathematics physics chemistry,2008,2010,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_31,"Indian Institute of Technology, Madras","master's degree, electrical, electronics and communications engineering",2003,2005,DataScience,,master,,,None#master#None#None,Engineering
DataScience_31,Udacity,"nanodegree, computer vision",2018,2018,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_31,Udacity,"nanodegree, deep learning",2018,2018,DataScience,,,,,None#None#None#None,Other
DataScience_32,Beihang University,"bachelor of engineering (be), aerospace engineering & international business",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_32,University of Minnesota,"ph.d., mechanical engineering",1900,1900,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_32,Arizona State University,"ms, mechanical engineering",1900,1900,DataScience,,master,,,None#master#None#None,Engineering
DataScience_33,Udacity,computer vision nanodegree,2018,2018,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_33,"T A Pai Management Institute, Manipal",mba,2013,2015,DataScience,,,,,None#None#None#None,Business / Economics
DataScience_33,University of Cincinnati Carl H. Lindner College of Business,"ms, business analytics",2018,2019,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_34,North Carolina State University - Institute for Advanced Analytics,"master of science in analytics (msa), advanced analytics",2013,2014,DataScience,,master,,,None#master#None#None,Other
DataScience_34,North Carolina State University,"mba, operations & services innovation",2008,2010,DataScience,,,,mba,None#None#mba#None,Business / Economics
DataScience_34,Duke University,"ms, statistics",1996,1997,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_35,Penn State University,"graduate certificate, supply chain management",2014,2015,DataScience,,,,,None#None#None#None,Other
DataScience_35,Mississippi State University,"phd, industrial and systems engineering (operations research)",2009,2013,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_35,Bangladesh University of Engineering and Technology,"m.sc. engineering, industrial and production engineering",2006,2008,DataScience,,master,,,None#master#None#None,Engineering
DataScience_36,Georgia Institute of Technology,"master of science - ms, analytics",2021,2022,DataScience,,master,,,None#master#None#None,Other
DataScience_36,National Institute of Technology Warangal,"bachelor of technology, electrical & electronics engineering",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_36,CDAC,"diploma in advanced computing, programming languages (c, c++, java, d2k, networking, unix and operating system)",1900,1900,DataScience,,,,,None#None#None#None,Other
DataScience_37,AMITY University Gurgaon,"master of computer applications (mca), computer science",2013,2016,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_37,International School of Engineering (INSOFE),big data analytics and optimization,2017,2018,DataScience,,,,,None#None#None#None,Other
DataScience_37,Indira Gandhi National Open University,"bca, computer science",2009,2012,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_38,Technical University of Munich,"master of science (ms), communications engineering",2011,2013,DataScience,,master,,,None#master#None#None,Engineering
DataScience_38,National Institute of Technology Raipur,"bachelor’s degree, electronics and telecommunication",2006,2010,DataScience,bachelor,,,,bachelor#None#None#None,Other
DataScience_39,Northwestern University,"ph.d., transportation",1999,2004,DataScience,,,phd,,None#None#None#phd,Other
DataScience_40,"N C Jindal Public School, new delhi",science,1900,1900,DataScience,,,,,None#None#None#None,Other
DataScience_40,Guru Gobind Singh Indraprastha University,"bachelor of technology (btech), computer science",2009,2013,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_40,San Jose State University,"master's degree, data science",2018,2020,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_41,"Indian Institute of Technology, Kanpur","dual degree, mathematics and scientific computing",2007,2012,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_42,The Johns Hopkins University,"data science with r, six courses",2014,2015,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_42,University of Notre Dame,"bachelor's degree, mathematics/business",1989,1993,DataScience,bachelor,,,,bachelor#None#None#None,Business / Economics
DataScience_42,Babson F.W. Olin Graduate School of Business,"mba, magna cum laude",2009,2011,DataScience,,,,mba,None#None#mba#None,Business / Economics
DataScience_43,Anna University,"b.e, electrical, electronics and communications engineering",2002,2006,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_43,INDIAN SCHOOL OF BUSINESS MANAGEMENT AND ADMINISTRATION,"master of business administration - mba, finance",2007,2009,DataScience,,master,,mba,None#master#mba#None,Business / Economics
DataScience_44,University of Tehran,"master of science, petroleum engineering (reservoir engineering)",2007,2009,DataScience,,master,,,None#master#None#None,Engineering
DataScience_44,Sharif University of Technology,"bachelor of science, petroleum engineering",2004,2007,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_44,Texas A&M University,"phd, petroleum engineering",2009,2013,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_45,Fergusson College,"higher secondary certificate, physics mathematics chemistry english computer science",2009,2011,DataScience,,,,,None#None#None#None,Business / Economics
DataScience_45,"Birla Institute of Technology and Science, Pilani","b.e. hons, electrical and electronics engineering",2011,2015,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_45,University of Illinois Urbana-Champaign,"master's degree, data science (msim)",2017,2018,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_46,Indian Institute of Science (IISc),"master of engineering (m.eng.), computer science",2014,2016,DataScience,,master,,,None#master#None#None,Engineering
DataScience_46,"University Institute Of Engineering and Technology, MDU Rohtak","bachelor of technology (b.tech.), computer science",2007,2011,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_46,OS DAV Public School Kaithal,higher scondary,2005,2007,DataScience,,,,,None#None#None#None,Other
DataScience_47,Amity University,,1900,1900,DataScience,,,,,None#None#None#None,Other
DataScience_47,Netaji Subhas Institute of Technology,"bachelor of engineering, computer engineering",2013,2017,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_47,Columbia University,"master's degree, data science",2018,2019,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_48,Udacity,"self-driving car engineer nano-degree, artificial intelligence",2020,2022,DataScience,,,,,None#None#None#None,Engineering
DataScience_48,Udacity,data structures and algorithms nano-degree,2019,2019,DataScience,,,,,None#None#None#None,Other
DataScience_48,Cornell University,"ph.d, mechanical engineering",2006,2011,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_49,JNTUH College of Engineering Hyderabad,"bachelor of technology (b.tech.), electronics and communications engineering",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_50,Sri Sarada College for Women(Autonomous),"bachelor's degree, statistics",2009,2012,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_50,Loyola College,"master of philosophy (m.phil.), statistics",2014,2015,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_50,Loyola College,"master’s degree, statistics",2014,2015,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_52,University of Wisconsin-Parkside,"master of business administration - mba, dual concentration: supply chain management / data analytics",2021,2022,DataScience,,master,,mba,None#master#mba#None,Business / Economics
DataScience_52,Georgia Institute of Technology,"master of science - ms, cybersecurity",2019,2021,DataScience,,master,,,None#master#None#None,Other
DataScience_52,University of Wisconsin-Green Bay,"master of science (ms), data science",2016,2018,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_53,"Indian Institute of Science Education and Research, Kolkata","master of science (ms), geological and earth sciences/geosciences",2007,2012,DataScience,,master,,,None#master#None#None,Other
DataScience_53,University of Massachusetts Amherst,"doctor of philosophy (ph.d.), computational geoscience",2012,2017,DataScience,,,phd,,None#None#None#phd,Other
DataScience_53,HBX | Harvard Business School,core: credential of readiness,2015,2016,DataScience,,,,,None#None#None#None,Other
DataScience_54,University of Toronto,"bachelor of applied science (basc), engineering",2011,2016,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_54,University of Chicago,"master’s degree, master of science in analytics (msca)",2016,2018,DataScience,,master,,,None#master#None#None,Other
DataScience_54,Oregon State University,"bachelor of science - bs, computer science",2019,2021,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_55,Anna University,"bachelor's degree, electrical, electronics and communications engineering",2009,2013,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_55,Stevens Institute of Technology,"masters in financial engineering, finance",2017,2018,DataScience,,master,,,None#master#None#None,Engineering
DataScience_56,University of Southern California,"master's degree, statistics",2010,2011,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_56,University of Science and Technology of China,bachelor's degree,2003,2007,DataScience,bachelor,,,,bachelor#None#None#None,Other
DataScience_56,University of Southern California,"doctor of philosophy (phd), bioinformatics and computational biology",2007,2013,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_57,"Indian Institute of Technology, Kharagpur","dual degree (btech + mtech), computer science",2009,2014,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_58,2021 Qiskit Global Summer School on Quantum Machine Learning,"certificate of quantum excellence, quantum computing, quantum machine learning",2021,2021,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_58,"Tribhuvan University, Nepal","bachelor's degree, physics, mathematics",2004,2006,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_58,Florida International University,"doctor of philosophy (phd), theoretical and mathematical physics",2011,2017,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_59,University of Waterloo,"phd in statistics, financial economectrics",2006,2012,DataScience,,,phd,,None#None#None#phd,Business / Economics
DataScience_60,Bilkent University,"master of arts (m.a.), economics",2007,2009,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_60,Bilkent University,"bachelor of science (bs), business administration and management, general",2003,2007,DataScience,bachelor,,,,bachelor#None#None#None,Business / Economics
DataScience_60,University of Michigan,"doctor of philosophy (ph.d.), economics",2009,2015,DataScience,,,phd,,None#None#None#phd,Business / Economics
DataScience_61,Indian Institute of Science (IISc),"master of engineering (m.eng.), aerospace engineering",1999,2001,DataScience,,master,,,None#master#None#None,Engineering
DataScience_61,"IIEST, Shibpur","bachellor of engineering, civil engineering",1995,1999,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_61,Indian Institute of Science (IISc),"ph.d, aerospace engineering",2001,2004,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_62,Data Analytics Edge from MIT EDX,"data science certification, data science",2015,2015,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_62,Stanford Center for Professional Development,sustainability studies,2019,2019,DataScience,,,,,None#None#None#None,Other
DataScience_62,Bharathiar University,"bachelor in engineering, instrumentation and control",1984,1988,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_63,University of Maryland Global Campus,"master, software engineering",2001,2003,DataScience,,master,,,None#master#None#None,Engineering
DataScience_63,Columbia University,"graduate certificate in health informatics, healthcare it",2010,2011,DataScience,,,,,None#None#None#None,Other
DataScience_63,Drexel University,"doctor of health science, epidemiology, biostat, ai/ml",2019,2022,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_64,Stanford University,"doctor of philosophy (phd), theoretical neuroscience",2011,2016,DataScience,,,phd,,None#None#None#phd,Other
DataScience_64,Stanford University,"master of science (ms), neuromorphic engineering",2009,2011,DataScience,,master,,,None#master#None#None,Engineering
DataScience_64,"University of California, Berkeley","ba, physics, neurobiology and minor in eecs",2005,2009,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_65,University of Connecticut,"master of business administration (mba), mis & finance",1900,1900,DataScience,,master,,mba,None#master#mba#None,Business / Economics
DataScience_65,University of Connecticut,"master of science (m.s.), applied financial mathematics",1900,1900,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_65,University of Connecticut,"ph.d., electrical & computer engineering, information & decision systems concentrations, applied machine learning & computer vision research",2004,2009,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_66,Muhlenberg College,"bachelor of science (b.s.), physics and mathematics",1995,1999,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_66,University of Miami,"doctor of philosophy (ph.d.), geophysics",2001,2008,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_67,"Indian Institute of Technology, Delhi","bachelor of technology (btech), mechanical engineering",2012,2016,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_67,Best High School,higher secondary certificate,1900,1900,DataScience,,,,,None#None#None#None,Business / Economics
DataScience_68,University of Amsterdam,"master's degree, education policy for global development",2018,2019,DataScience,,master,,,None#master#None#None,Other
DataScience_68,University of Pennsylvania,"master of science - ms, social policy and data analytics",2020,2022,DataScience,,master,,,None#master#None#None,Other
DataScience_68,Universitat Autònoma de Barcelona,"master of arts - ma, education policy analysis",2017,2019,DataScience,,master,,,None#master#None#None,Other
DataScience_69,University of Minnesota - Carlson School of Management,"master of science - ms, business analytics",2018,2019,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_69,"National Institute of Technology, Tiruchirappalli","bachelor of technology - btech, mechanical engineering",2011,2015,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_70,University of Illinois Urbana-Champaign,"master in computer science, data science",2018,2020,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_70,Amity University,"bachelor of technology (b.tech.), computer science",2008,2012,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_71,University of Rochester,"doctorate, electrical and computer engineering",2007,2012,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_71,Zhejiang University,"bachelor, measuring & control technology and instrumentations",2003,2007,DataScience,bachelor,,,,bachelor#None#None#None,Other
DataScience_71,RIT,,1900,1900,DataScience,,,,,None#None#None#None,Other
DataScience_72,KTH Royal Institute of Technology,"ph.d.(joint thesis), theoretical and computational physics",1900,1900,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_72,Peking University,"ph.d  (joint thesis), theoretical and computational physics",1900,1900,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_72,Shandong University,"bachelor's degree, physics",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_73,Massachusetts Institute of Technology,"master of science (m.s.), aerospace, aeronautical and astronautical engineering",2007,2009,DataScience,,master,,,None#master#None#None,Engineering
DataScience_73,Quantic School of Business and Technology,executive mba,2018,2019,DataScience,,,,,None#None#None#None,Business / Economics
DataScience_73,Massachusetts Institute of Technology,"bachelor of science (bs), aerospace, aeronautical and astronautical engineering",2003,2007,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_74,"Indian Institute of Technology, Bombay","b.tech, chemical engineering",1900,1900,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_74,Rensselaer Polytechnic Institute - The Lally School of Management,"master's degree, business analytics",2017,2018,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_75,MIT Sloan School of Management,"mba, finance, strategy",2001,2003,DataScience,,,,mba,None#None#mba#None,Business / Economics
DataScience_75,"University of California, Los Angeles","ms, electrical engineering",1994,1996,DataScience,,master,,,None#master#None#None,Engineering
DataScience_75,Massachusetts Institute of Technology,master of business administration (m.b.a.),2001,2003,DataScience,,master,,mba,None#master#mba#None,Business / Economics
DataScience_76,"Birla Institute of Technology, Mesra","mca, computer applications",2000,2003,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_76,Nanyang Technological University Singapore,"exchange research fellow, school of communication & information",2006,2006,DataScience,,,,,None#None#None#None,Other
DataScience_76,Indian Institute of Management Bangalore,"phd, quantitative methods and information systems",2003,2008,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_77,Institution of Electronics and Telecommunication Engineers,"bachelor’s degree, electrical, electronics and communications engineering",1989,1992,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_77,Anna University,"masters in engineering, electrical and electronics engineering",1993,1995,DataScience,,master,,,None#master#None#None,Engineering
DataScience_77,Northeastern University,"ph.d., electrical and computer engineering",1997,2002,DataScience,,,phd,,None#None#None#phd,Engineering
