profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree,profile_category
DataScience_30,Narayana Junior College,Mathematics Physics Chemistry,2008,2010,DataScience
DataScience_31,"Indian Institute of Technology, Madras","Master's degree, Electrical, Electronics and Communications Engineering",2003,2005,DataScience
DataScience_31,Udacity,"Nanodegree, Computer Vision",2018,2018,DataScience
DataScience_31,Udacity,"Nanodegree, Deep Learning",2018,2018,DataScience
DataScience_32,Beihang University,"Bachelor of Engineering (BE), Aerospace engineering & International Business",1900,1900,DataScience
DataScience_32,University of Minnesota,"Ph.D., Mechanical Engineering",1900,1900,DataScience
DataScience_32,Arizona State University,"MS, Mechanical Engineering",1900,1900,DataScience
DataScience_33,Udacity,Computer Vision Nanodegree,2018,2018,DataScience
DataScience_33,"T A Pai Management Institute, Manipal",MBA,2013,2015,DataScience
DataScience_33,University of Cincinnati Carl H. Lindner College of Business,"MS, Business Analytics",2018,2019,DataScience
DataScience_34,North Carolina State University - Institute for Advanced Analytics,"Master of Science in Analytics (MSA), Advanced Analytics",2013,2014,DataScience
DataScience_34,North Carolina State University,"MBA, Operations & Services Innovation",2008,2010,DataScience
DataScience_34,Duke University,"MS, Statistics",1996,1997,DataScience
DataScience_35,Penn State University,"Graduate Certificate, Supply Chain Management",2014,2015,DataScience
DataScience_35,Mississippi State University,"PhD, Industrial and Systems Engineering (Operations Research)",2009,2013,DataScience
DataScience_35,Bangladesh University of Engineering and Technology,"M.Sc. Engineering, Industrial and Production Engineering",2006,2008,DataScience
DataScience_36,Georgia Institute of Technology,"Master of Science - MS, Analytics",2021,2022,DataScience
DataScience_36,National Institute of Technology Warangal,"Bachelor of Technology, Electrical & Electronics Engineering",1900,1900,DataScience
DataScience_36,CDAC,"Diploma in Advanced Computing, Programming Languages (C, C++, Java, D2K, Networking, Unix and Operating System)",1900,1900,DataScience
DataScience_37,AMITY University Gurgaon,"Master of Computer Applications (MCA), Computer Science",2013,2016,DataScience
DataScience_37,International School of Engineering (INSOFE),Big Data Analytics and Optimization,2017,2018,DataScience
DataScience_37,Indira Gandhi National Open University,"BCA, Computer Science",2009,2012,DataScience
DataScience_38,Technical University of Munich,"Master of Science (MS), Communications Engineering",2011,2013,DataScience
DataScience_38,National Institute of Technology Raipur,"Bachelor’s Degree, Electronics and Telecommunication",2006,2010,DataScience
DataScience_39,Northwestern University,"Ph.D., Transportation",1999,2004,DataScience
DataScience_40,"N C Jindal Public School, new delhi",Science,1900,1900,DataScience
DataScience_40,Guru Gobind Singh Indraprastha University,"Bachelor of Technology (BTech), Computer Science",2009,2013,DataScience
DataScience_40,San Jose State University,"Master's degree, Data Science",2018,2020,DataScience
DataScience_41,"Indian Institute of Technology, Kanpur","Dual degree, Mathematics and Scientific Computing",2007,2012,DataScience
DataScience_42,The Johns Hopkins University,"Data Science with R, six courses",2014,2015,DataScience
DataScience_42,University of Notre Dame,"Bachelor's Degree, Mathematics/Business",1989,1993,DataScience
DataScience_42,Babson F.W. Olin Graduate School of Business,"MBA, Magna Cum Laude",2009,2011,DataScience
DataScience_43,Anna University,"B.E, Electrical, Electronics and Communications Engineering",2002,2006,DataScience
DataScience_43,INDIAN SCHOOL OF BUSINESS MANAGEMENT AND ADMINISTRATION,"Master of Business Administration - MBA, Finance",2007,2009,DataScience
DataScience_44,University of Tehran,"Master of Science, Petroleum Engineering (Reservoir Engineering)",2007,2009,DataScience
DataScience_44,Sharif University of Technology,"Bachelor of Science, Petroleum Engineering",2004,2007,DataScience
DataScience_44,Texas A&M University,"PhD, Petroleum Engineering",2009,2013,DataScience
DataScience_45,Fergusson College,"Higher Secondary Certificate, Physics Mathematics Chemistry English Computer Science",2009,2011,DataScience
DataScience_45,"Birla Institute of Technology and Science, Pilani","B.E. Hons, Electrical and Electronics Engineering",2011,2015,DataScience
DataScience_45,University of Illinois Urbana-Champaign,"Master's degree, Data Science (MSIM)",2017,2018,DataScience
DataScience_46,Indian Institute of Science (IISc),"Master of Engineering (M.Eng.), Computer Science",2014,2016,DataScience
DataScience_46,"University Institute Of Engineering and Technology, MDU Rohtak","Bachelor of Technology (B.Tech.), Computer Science",2007,2011,DataScience
DataScience_46,OS DAV Public School Kaithal,Higher Scondary,2005,2007,DataScience
DataScience_47,Amity University,,1900,1900,DataScience
DataScience_47,Netaji Subhas Institute of Technology,"Bachelor of Engineering, Computer Engineering",2013,2017,DataScience
DataScience_47,Columbia University,"Master's degree, Data Science",2018,2019,DataScience
DataScience_48,Udacity,"Self-driving Car Engineer Nano-Degree, Artificial Intelligence",2020,2022,DataScience
DataScience_48,Udacity,Data Structures and Algorithms Nano-Degree,2019,2019,DataScience
DataScience_48,Cornell University,"Ph.D, Mechanical Engineering",2006,2011,DataScience
DataScience_49,JNTUH College of Engineering Hyderabad,"Bachelor of Technology (B.Tech.), Electronics and communications engineering",1900,1900,DataScience
DataScience_50,Sri Sarada College for Women(Autonomous),"Bachelor's degree, Statistics",2009,2012,DataScience
DataScience_50,Loyola College,"Master of Philosophy (M.Phil.), Statistics",2014,2015,DataScience
DataScience_50,Loyola College,"Master’s Degree, Statistics",2014,2015,DataScience
DataScience_52,University of Wisconsin-Parkside,"Master of Business Administration - MBA, Dual Concentration: Supply Chain Management / Data Analytics",2021,2022,DataScience
DataScience_52,Georgia Institute of Technology,"Master of Science - MS, Cybersecurity",2019,2021,DataScience
DataScience_52,University of Wisconsin-Green Bay,"Master of Science (MS), Data Science",2016,2018,DataScience
DataScience_53,"Indian Institute of Science Education and Research, Kolkata","Master of Science (MS), Geological and Earth Sciences/Geosciences",2007,2012,DataScience
DataScience_53,University of Massachusetts Amherst,"Doctor of Philosophy (Ph.D.), Computational Geoscience",2012,2017,DataScience
DataScience_53,HBX | Harvard Business School,Core: Credential of Readiness,2015,2016,DataScience
DataScience_54,University of Toronto,"Bachelor of Applied Science (BASc), Engineering",2011,2016,DataScience
DataScience_54,University of Chicago,"Master’s Degree, Master of Science in Analytics (MScA)",2016,2018,DataScience
DataScience_54,Oregon State University,"Bachelor of Science - BS, Computer Science",2019,2021,DataScience
DataScience_55,Anna University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2009,2013,DataScience
DataScience_55,Stevens Institute of Technology,"Masters in Financial Engineering, Finance",2017,2018,DataScience
DataScience_56,University of Southern California,"Master's degree, Statistics",2010,2011,DataScience
DataScience_56,University of Science and Technology of China,Bachelor's degree,2003,2007,DataScience
DataScience_56,University of Southern California,"Doctor of Philosophy (PhD), Bioinformatics and Computational Biology",2007,2013,DataScience
DataScience_57,"Indian Institute of Technology, Kharagpur","Dual Degree (BTech + MTech), Computer Science",2009,2014,DataScience
DataScience_58,2021 Qiskit Global Summer School on Quantum Machine Learning,"Certificate of Quantum Excellence, Quantum Computing, Quantum Machine Learning",2021,2021,DataScience
DataScience_58,"Tribhuvan University, Nepal","Bachelor's degree, Physics, Mathematics",2004,2006,DataScience
DataScience_58,Florida International University,"Doctor of Philosophy (PhD), Theoretical and Mathematical Physics",2011,2017,DataScience
DataScience_59,University of Waterloo,"PhD in Statistics, Financial Economectrics",2006,2012,DataScience
DataScience_60,Bilkent University,"Master of Arts (M.A.), Economics",2007,2009,DataScience
DataScience_60,Bilkent University,"Bachelor of Science (BS), Business Administration and Management, General",2003,2007,DataScience
DataScience_60,University of Michigan,"Doctor of Philosophy (Ph.D.), Economics",2009,2015,DataScience
DataScience_61,Indian Institute of Science (IISc),"Master of Engineering (M.Eng.), Aerospace Engineering",1999,2001,DataScience
DataScience_61,"IIEST, Shibpur","Bachellor of Engineering, Civil Engineering",1995,1999,DataScience
DataScience_61,Indian Institute of Science (IISc),"Ph.D, Aerospace Engineering",2001,2004,DataScience
DataScience_62,Data Analytics Edge from MIT EDX,"Data Science certification, Data Science",2015,2015,DataScience
DataScience_62,Stanford Center for Professional Development,Sustainability Studies,2019,2019,DataScience
DataScience_62,Bharathiar University,"Bachelor in Engineering, Instrumentation and Control",1984,1988,DataScience
DataScience_63,University of Maryland Global Campus,"Master, Software Engineering",2001,2003,DataScience
DataScience_63,Columbia University,"Graduate Certificate in Health Informatics, Healthcare IT",2010,2011,DataScience
DataScience_63,Drexel University,"Doctor of Health Science, Epidemiology, Biostat, AI/ML",2019,2022,DataScience
DataScience_64,Stanford University,"Doctor of Philosophy (PhD), Theoretical Neuroscience",2011,2016,DataScience
DataScience_64,Stanford University,"Master of Science (MS), Neuromorphic Engineering",2009,2011,DataScience
DataScience_64,"University of California, Berkeley","BA, Physics, Neurobiology and minor in EECS",2005,2009,DataScience
DataScience_65,University of Connecticut,"Master of Business Administration (MBA), MIS & Finance",1900,1900,DataScience
DataScience_65,University of Connecticut,"Master of Science (M.S.), Applied Financial Mathematics",1900,1900,DataScience
DataScience_65,University of Connecticut,"Ph.D., Electrical & Computer Engineering, Information & Decision Systems Concentrations, Applied Machine Learning & Computer Vision Research",2004,2009,DataScience
DataScience_66,Muhlenberg College,"Bachelor of Science (B.S.), Physics and Mathematics",1995,1999,DataScience
DataScience_66,University of Miami,"Doctor of Philosophy (Ph.D.), Geophysics",2001,2008,DataScience
DataScience_67,"Indian Institute of Technology, Delhi","Bachelor of Technology (BTech), Mechanical Engineering",2012,2016,DataScience
DataScience_67,Best High School,Higher secondary certificate,1900,1900,DataScience
DataScience_68,University of Amsterdam,"Master's degree, Education Policy for Global Development",2018,2019,DataScience
DataScience_68,University of Pennsylvania,"Master of Science - MS, Social Policy and Data Analytics",2020,2022,DataScience
DataScience_68,Universitat Autònoma de Barcelona,"Master of Arts - MA, Education Policy Analysis",2017,2019,DataScience
DataScience_69,University of Minnesota - Carlson School of Management,"Master of Science - MS, Business Analytics",2018,2019,DataScience
DataScience_69,"National Institute of Technology, Tiruchirappalli","Bachelor of Technology - BTech, Mechanical Engineering",2011,2015,DataScience
DataScience_70,University of Illinois Urbana-Champaign,"Master in Computer Science, Data Science",2018,2020,DataScience
DataScience_70,Amity University,"Bachelor of Technology (B.Tech.), Computer Science",2008,2012,DataScience
DataScience_71,University of Rochester,"Doctorate, Electrical and Computer Engineering",2007,2012,DataScience
DataScience_71,Zhejiang University,"Bachelor, Measuring & Control Technology and Instrumentations",2003,2007,DataScience
DataScience_71,RIT,,1900,1900,DataScience
DataScience_72,KTH Royal Institute of Technology,"Ph.D.(Joint thesis), Theoretical and Computational Physics",1900,1900,DataScience
DataScience_72,Peking University,"Ph.D  (Joint thesis), Theoretical and Computational Physics",1900,1900,DataScience
DataScience_72,Shandong University,"Bachelor's degree, Physics",1900,1900,DataScience
DataScience_73,Massachusetts Institute of Technology,"Master of Science (M.S.), Aerospace, Aeronautical and Astronautical Engineering",2007,2009,DataScience
DataScience_73,Quantic School of Business and Technology,Executive MBA,2018,2019,DataScience
DataScience_73,Massachusetts Institute of Technology,"Bachelor of Science (BS), Aerospace, Aeronautical and Astronautical Engineering",2003,2007,DataScience
DataScience_74,"Indian Institute of Technology, Bombay","B.Tech, Chemical Engineering",1900,1900,DataScience
DataScience_74,Rensselaer Polytechnic Institute - The Lally School of Management,"Master's degree, Business Analytics",2017,2018,DataScience
DataScience_75,MIT Sloan School of Management,"MBA, Finance, Strategy",2001,2003,DataScience
DataScience_75,"University of California, Los Angeles","MS, Electrical Engineering",1994,1996,DataScience
DataScience_75,Massachusetts Institute of Technology,Master of Business Administration (M.B.A.),2001,2003,DataScience
DataScience_76,"Birla Institute of Technology, Mesra","MCA, Computer Applications",2000,2003,DataScience
DataScience_76,Nanyang Technological University Singapore,"Exchange Research Fellow, School of Communication & Information",2006,2006,DataScience
DataScience_76,Indian Institute of Management Bangalore,"PhD, Quantitative Methods and Information Systems",2003,2008,DataScience
DataScience_77,Institution of Electronics and Telecommunication Engineers,"Bachelor’s Degree, Electrical, Electronics and Communications Engineering",1989,1992,DataScience
DataScience_77,Anna University,"Masters in Engineering, Electrical and Electronics Engineering",1993,1995,DataScience
DataScience_77,Northeastern University,"Ph.D., Electrical and Computer Engineering",1997,2002,DataScience
DataScience_78,Bangor University,"BSc, Mathematics",1994,1997,DataScience
DataScience_78,University of Strathclyde,"PhD, Mathematical Biology",1998,2001,DataScience
DataScience_78,Loughborough University,"MSc, Mathematical Modelling for Industry",1997,1998,DataScience
DataScience_79,University of Washington,"Doctor of Philosophy (Ph.D.), Finance, General",2010,2015,DataScience
DataScience_79,University of Washington,"MBA, Finance, General",2009,2010,DataScience
DataScience_79,University of Washington - Michael G. Foster School of Business,"Master of Science (M.Sc.), Finance, General",2011,2014,DataScience
DataScience_80,North Carolina State University,"Doctor of Philosophy - PhD, Major: ISE, Minor:  Statistics and Computer Science (Interdisciplinarity)",2017,2017,DataScience
DataScience_81,Rice University,"Master's degree, statistics",2017,2019,DataScience
DataScience_81,Shanghai University of International Business and Economics,"Bachelor of Science - BS, Applied Statistics",2013,2017,DataScience
DataScience_82,California State Polytechnic University-Pomona,"Bachelors of Science, Mechanical Engineering",1900,1900,DataScience
DataScience_82,University of Wisconsin-Madison,"Master of Science (MSc), Manufacturing Systems Engineering",1900,1900,DataScience
DataScience_83,Esade,Exchange Program,2013,2013,DataScience
DataScience_83,University of Illinois Urbana-Champaign,"Master's degree, Data science and analytics",2018,2020,DataScience
DataScience_83,Tongji University,"Bachelor's degree, Engineering/Industrial Management",2010,2014,DataScience
DataScience_84,Flatiron School,Data Science,1900,1900,DataScience
DataScience_84,Purdue University,"Bachelor of Science - BS, Analytics",1900,1900,DataScience
DataScience_85,Nova Southeastern University,"Doctor of Philosophy (PhD), Natural Language Processing",1900,1900,DataScience
DataScience_85,Indira Gandhi National Open University,"MBA, Operations Research",1900,1900,DataScience
DataScience_85,Manonmaniam Sundaranar University,"Master of Computer Applications - MCA, Computational and Applied Mathematics",1900,1900,DataScience
DataScience_87,Stony Brook University,"Bachelor of Science (BS), Applied Mathematics and Statistics; Economics",2014,2017,DataScience
DataScience_87,Columbia University,"Master's degree, Statistics",2017,2019,DataScience
DataScience_88,Udacity,Machine Learning Engineer Nanodegree,2020,2020,DataScience
DataScience_88,The University of Texas at Dallas,"Master of Science - MS, Business Analytics",2018,2020,DataScience
DataScience_88,G H Patel College of Engineering & Technology,"Bachelor of Engineering - BE, Electronics and Communication",2009,2013,DataScience
DataScience_89,"Indian Institute of Management, Indore","Master of Business Administration (M.B.A.), Marketing",2013,2014,DataScience
DataScience_89,"IIEST, Shibpur","Bachelor of Engineering (B.E.), Mining and Mineral Engineering",2004,2007,DataScience
DataScience_89,Texas McCombs School of Business,Advanced Business Analytics,2014,2014,DataScience
DataScience_90,fast.ai,Deep Learning,2017,2018,DataScience
DataScience_90,National Institute of Technology Warangal,"Bachelor's Degree, Electrical and Electronics Engineering",2008,2012,DataScience
DataScience_91,Columbia University,"MS, Data Science",2018,2019,DataScience
DataScience_91,Banasthali Vidyapith,Bachelor of computer Applications,2009,2012,DataScience
DataScience_91,Jawaharlal Nehru University,"Master of Computer Applications (MCA), Computer Science",2012,2015,DataScience
DataScience_92,"DAV Group of Schools (TNAES), Chennai","Primary to Higher Secondary, Science (Biology)",2003,2013,DataScience
DataScience_92,The University of Texas at Dallas,"Master of Science - MS, Management Information Systems, General",2019,2021,DataScience
DataScience_92,Anna University,"Bachelor's degree, Electrical and Electronics Engineering",2013,2017,DataScience
DataScience_93,"University of California, Davis","Doctor of Philosophy (Ph.D.), Biostatistics",2012,2017,DataScience
DataScience_93,California State University Channel Islands,"Bachelor's degree, Mathematics",2008,2010,DataScience
DataScience_94,Pontifícia Universidade Católica do Rio de Janeiro,"Graduate, Business Administration and Management, General",1994,1997,DataScience
DataScience_94,Pontifícia Universidade Católica do Rio de Janeiro,"Master of Science, Business Administration",2004,2006,DataScience
DataScience_94,Ibmec,"Master of Business Administration (MBA), Banking, Corporate, Finance, and Securities Law",1998,2000,DataScience
DataScience_95,University of Illinois Springfield,"Master of Science (MS), Management Information Systems (MIS)",2011,2012,DataScience
DataScience_95,The Institution of Engineers India,"Bachelor’s Degree, Numerical programming and Fortran",1992,1996,DataScience
DataScience_96,New York University,"Master of Science (M.S.), Data Science",2014,2016,DataScience
DataScience_96,Brandeis University,"Bachelor of Arts (B.A.), Economics and Mathematics",2010,2014,DataScience
DataScience_97,"Indian Institute of Technology, Indore","Bachelor of Technology (B.Tech.), Electrical Engineering",2010,2014,DataScience
DataScience_97,University of Cincinnati Carl H. Lindner College of Business,"Master of Science - MS, Business Analytics",2017,2018,DataScience
DataScience_98,careers for Thrikkakkara,"Bachelor of Technology (B.Tech.), Electronics and Communications Engineering",2006,2010,DataScience
DataScience_98,University of Connecticut School of Business,"Master of Science (MS), Business Analytics and Project Management",2017,2018,DataScience
DataScience_99,George Mason University,"Masters in Data Analytics Engineering, Data Science",2016,2018,DataScience
DataScience_99,"University of Engineering and Technology, Taxila","Bachelor of Science (B.S.), Computer Science",2012,2016,DataScience
DataScience_100,"Indian Institute of Technology, Bombay","Bachelor of Technology (BTech), Computer Science and Engineering",2009,2013,DataScience
DataScience_101,"Indian Institute of Technology, Roorkee","Bachelor of Technology (B.Tech.), Chemical Engineering",2003,2007,DataScience
DataScience_101,Oklahoma State University,"Masters Degree, Business Analytics and Data Sciences",1900,1900,DataScience
DataScience_102,Bal Bharati Public School,"12th Grade, Science",1990,1997,DataScience
DataScience_102,"Indian Institute of Technology, Kanpur","B. Tech., Chemical Engineering",1998,2002,DataScience
DataScience_102,University of Florida,"Ph.D., Chemical Engineering",2002,2007,DataScience
DataScience_103,Electrical and computer Engineering,"Doctor of Philosophy (PhD), Deep Learning",2018,2022,DataScience
DataScience_103,Addis Ababa University,"Master of Science (M.S.), Mathematics (Combinatorics)",2009,2012,DataScience
DataScience_103,Oklahoma State University,"Master of Science (M.S.), Electrical and Computer Engineering",2014,2016,DataScience
DataScience_104,The George Washington University,"MS, Computer Science",2001,2003,DataScience
DataScience_104,The George Washington University,"MA, Physics",1999,2001,DataScience
DataScience_104,Shanghai Jiao Tong University,"BS, Applied Physics",1988,1992,DataScience
DataScience_105,Stanford University,"Graduate Certificate in Data Mining (High Honours), Statistics",1900,1900,DataScience
DataScience_105,University of Vermont,"Doctor of Philosophy (Ph.D.) (ABD), Mechanical Engineering",1900,1900,DataScience
DataScience_105,The Johns Hopkins University,"Master of Science (M.S.) with Honors, Data Science",1900,1900,DataScience
DataScience_106,University at Buffalo,"Ph.D., Chemical and Biological Engineering",2001,2008,DataScience
DataScience_106,Xiamen University,"MS, Chemical Engineering",1998,2001,DataScience
DataScience_106,Xiamen University,"BE, Chemical Engineering",1994,1998,DataScience
DataScience_107,Capella University,"Master’s Degree, Information Technology - Enterprise Software Architecture",2009,2015,DataScience
DataScience_107,The George Washington University,"Graduate Certificate, Project Management",2004,2006,DataScience
DataScience_107,University of Wisconsin-La Crosse,"Master’s Degree, Data Science",2016,2021,DataScience
DataScience_108,University of Oklahoma,"Master of Science (MS), Computer Science",2004,2005,DataScience
DataScience_108,Dartmouth College,"PhD Student, Computer Science",2005,2006,DataScience
DataScience_108,Duke University,"Doctor of Philosophy (PhD), Computer Science",2006,2012,DataScience
DataScience_109,Maharaja Surajmal Institute Of Technology msitnewdelhi,"Bachelor of Technology (BTech), Information Technology",2016,2019,DataScience
DataScience_109,Illinois Institute of Technology,"Master's degree, Data science",2022,2023,DataScience
DataScience_110,University of Michigan,"Master's degree, Industrial and Operations Engineering",2004,2007,DataScience
DataScience_110,University of Michigan,"MA, Statistics",2006,2009,DataScience
DataScience_110,University of Michigan,"PhD, Industrial Engineering and Mechanical Engineering",2004,2010,DataScience
DataScience_111,Michigan State University,"Master of Science (MS), Computer Science and Engineering",1900,1900,DataScience
